Player,Age,AV,Height,Wt,40YD,Vertical,Broad Jump,3Cone,Shuttle,Pro-Bowler
Troy Williamson,21,8,6-1,203,4.32,,,6.99,,N
Mike Williams,21,13,6-5,229,4.56,36.5,,,,N
Roddy White,23,107,6-1,207,4.46,,,,,Y
Paris Warren,22,0,6-0,219,4.71,31.5,,,,N
Craphonso Thorpe,21,1,6-1,188,4.38,,,,,N
Courtney Roby,22,3,6-0,189,4.41,36.5,126,6.6,3.94,N
Jamaica Rector,23,0,5-10,186,4.47,36.5,122,6.78,4.13,N
Tab Perry,23,1,6-2,229,4.46,34,116,7,,N
Roscoe Parrish,22,15,5-10,168,4.37,,,,,N
Chad Owens,22,0,5-7,183,4.62,37,116,6.7,3.94,N
Terrence Murphy,22,0,6-1,202,4.39,,,,,N
Lance Moore,21,45,5-9,177,4.52,,,,,N
Leron McCoy,23,1,6-1,211,4.4,37,120,7.19,4.21,N
Jerome Mathis,21,4,5-11,181,4.28,35.5,123,,,N
Rasheed Marshall,23,0,6-0,185,4.51,38,121,6.81,3.95,N
Brandon Jones,22,13,6-1,210,4.42,37,114,7.03,4.08,N
Vincent Jackson,22,92,6-5,241,4.46,39,,,,Y
Chris Henry,21,17,6-4,197,4.5,,,,,N
Braylon Edwards,22,47,6-3,211,4.45,,,,,N
Airese Currie,22,0,5-10,186,4.49,38,125,7.05,4.07,N
Mark Clayton,22,30,5-10,193,4.41,36.5,118,6.95,4.07,N
Reggie Brown,24,21,6-2,196,4.45,41.5,128,6.99,3.94,N
Mark Bradley,23,11,6-1,201,4.37,39.5,128,6.96,3.98,N
Kevin Youngblood,23,0,6-4,213,4.64,34,,,,N
Rashaun Woods,23,1,6-2,202,4.47,39,125,6.93,3.97,N
George Wilson,22,29,6-0,213,4.63,35,120,7.07,3.98,N
Roy Williams,22,49,6-2,212,4.48,,,,,Y
Reggie Williams,20,25,6-4,229,4.56,,,,,N
Ernest Wilford,25,23,6-4,226,4.79,40.5,130,,4.17,N
Darius Watts,22,4,6-1,188,4.5,,,,,N
Andrae Thurman,23,1,5-11,192,4.54,34.5,121,7.31,4.3,N
Sloan Thomas,22,0,6-1,203,4.5,,,,,N
Jamaar Taylor,23,1,6-1,197,4.46,,,,,N
Kendrick Starling,24,0,6-1,193,4.49,31.5,119,6.88,3.87,N
John Standeford,21,2,6-3,197,4.6,32.5,113,6.9,4.08,N
Jonathan Smith,22,2,5-10,194,4.78,32.5,114,,4.35,N
P.K. Sam,20,0,6-3,210,4.54,34.5,,7.04,,N
Samie Parker,22,14,5-10,179,4.39,36,,,,N
Johnnie Morant,22,0,6-4,229,4.51,41,130,7.34,4.22,N
Clarence Moore,21,2,6-6,211,4.55,34,122,6.84,4.16,N
Maurice Mann,21,0,6-1,191,4.57,34,118,,,N
Triandos Luke,22,0,5-11,199,4.51,38,124,7.06,4.17,N
Ryan Krause,22,1,6-2,244,4.6,33.5,119,6.78,4.16,N
Kelvin Kight,21,0,6-0,213,4.56,34,109,7.18,4.24,N
Michael Jenkins,21,46,6-4,218,4.4,,,,,N
Justin Jenkins,23,0,5-11,213,4.6,35,123,7.47,4.16,N
Devery Henderson,21,41,5-11,198,4.41,,,,,N
Derrick Hamilton,22,0,6-3,196,4.54,,,,,N
D.J. Hackett,22,15,6-2,199,4.53,41,131,6.79,4.08,N
Carlos Francis,23,0,5-9,198,4.33,38.5,114,6.97,4.06,N
Larry Fitzgerald,20,133,6-3,225,4.48,,,,,Y
Lee Evans,22,56,5-11,197,4.39,34.5,120,,,N
Devard Darling,21,4,6-1,213,4.52,37,129,,,N
Jerricho Cotchery,21,63,6-0,212,4.54,36,121,6.93,3.91,N
Terrance Copper,21,10,6-0,208,4.53,35.5,116,7.34,4.31,N
Keary Colbert,21,15,6-1,207,4.6,30,,,,N
Michael Clayton,21,24,6-3,209,4.67,32.5,116,6.77,4.09,N
Drew Carter,22,8,6-4,204,4.36,,,,,N
Bernard Berrian,23,36,6-1,183,4.58,38,128,7.34,4.18,N
Walter Young,23,0,6-5,214,4.54,39,121,6.9,4.25,N
Kelley Washington,23,14,6-2,223,4.42,,,,,N
Bobby Wade,22,25,5-10,193,4.66,34.5,115,7.01,4.11,N
Charles Rogers,21,4,6-2,202,4.4,,,,,N
Kassim Osgood,22,8,6-5,208,4.68,31,122,7.19,4.44,N
Billy McMullen,22,5,6-4,210,4.61,,,,,N
Shaun McDonald,21,20,5-8,169,4.43,,,,,N
Reno Mahe,22,3,5-9,198,4.68,32,109,7.27,4.23,N
Adrian Madise,22,0,5-11,215,4.49,32,119,7.32,4.26,N
Brandon Lloyd,21,48,6-0,184,4.62,36,,,,Y
Teyo Johnson,21,2,6-5,247,4.61,33.5,,,,N
Bryant Johnson,21,30,6-2,214,4.57,,,,,N
Bethel Johnson,24,8,5-11,201,4.38,38.5,127,,,N
Andre Johnson,21,125,6-2,230,4.41,39,132,,,Y
Taylor Jacobs,21,2,6-0,205,4.42,,,,,N
Keenan Howry,21,0,5-10,178,4.56,31.5,114,7.34,4.28,N
Talman Gardner,22,0,6-1,205,4.44,34.5,116,7.54,4.43,N
Justin Gage,22,28,6-4,217,4.45,,,,,N
Doug Gabriel,22,15,6-2,213,4.52,35.5,116,7.05,4.16,N
Terrence Edwards,23,0,6-0,176,4.5,,,,,N
LaTarence Dunbar,22,0,5-11,196,4.52,34,122,7.41,4.35,N
Kevin Curtis,24,28,5-11,186,4.42,36,122,6.76,3.99,N
Tyrone Calico,22,5,6-4,223,4.34,38,127,6.73,4.26,N
Nate Burleson,21,55,6-0,197,4.51,42.5,126,6.96,4.16,N
Anquan Boldin,22,118,6-1,216,4.72,33.5,114,7.35,4.33,Y
Ronald Bellamy,21,0,6-0,208,4.57,30.5,119,7.38,4.1,N
Arnaz Battle,23,19,6-1,217,4.58,35,117,6.74,4.06,N
Sam Aiken,22,7,6-2,209,4.59,39.5,121,7.22,,N
Javon Walker,23,42,6-3,210,4.38,39.5,128,6.86,4.05,Y
Donte' Stallworth,21,45,6-0,197,4.22,,,,,N
Jake Schifino,22,0,6-1,200,4.49,,,,,N
Cliff Russell,23,0,5-11,185,4.36,,,,,N
Josh Reed,21,33,5-10,210,4.54,,,,,N
Antwaan Randle El,22,49,5-10,191,4.49,,,,,N
Kendall Newson,22,1,6-2,200,4.69,33.5,117,6.87,4.27,N
Jason McAddley,22,4,6-1,203,4.47,36.5,123,6.83,4.09,N
Lee Mays,23,1,6-1,190,4.55,32.5,119,7.08,4.17,N
Ashley Lelie,22,39,6-3,197,4.49,,,,,N
Daryl Jones,23,1,5-9,180,4.35,,,,,N
Ron Johnson,21,1,6-2,225,4.7,34.5,118,7.12,4.02,N
Javin Hunter,21,0,5-11,186,4.47,41,129,6.84,4.04,N
Kahlil Hill,22,0,6-2,200,4.65,35,,,,N
Herb Haygood,24,0,5-11,193,4.45,33,114,6.65,4.26,N
David Givens,21,23,6-0,217,4.56,40.5,126,6.82,4.13,N
Jabar Gaffney,21,52,6-1,193,4.56,,,6.87,4.06,N
Andre' Davis,22,26,6-1,194,4.42,39.5,123,6.77,4.1,N
Tim Carter,22,10,6-0,190,4.32,39,126,6.68,3.93,N
Kelly Campbell,21,12,5-10,171,4.48,,,,,N
Reche Caldwell,22,21,6-0,194,4.53,41.5,130,7,4.1,N
Antonio Bryant,20,42,6-1,188,4.57,37,121,,,N
Deion Branch,22,64,5-9,191,4.47,36,117,6.71,3.78,N
