Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,Broad Jump,3Cone,Shuttle,Pro-Bowl
2016,Carson Wentz,QB,23,45,North Dakota State,,6-5,237,4.77,30.5,118,6.86,4.15,Y
2016,Nate Sudfeld,QB,22,1,Indiana,College Stats,6-6,234,5.02,29,105,,,N
2016,Dak Prescott,QB,22,60,Mississippi State,College Stats,6-2,226,4.79,32.5,116,7.11,4.32,Y
2016,Paxton Lynch,QB,22,2,Memphis,College Stats,6-7,244,4.86,36,118,7.14,4.26,N
2016,Cody Kessler,QB,22,5,USC,College Stats,6-1,220,4.89,29.5,104,7.32,4,N
2016,Cardale Jones,QB,23,0,Ohio State,College Stats,6-5,253,4.81,36,,,,N
2016,Kevin Hogan,QB,23,2,Stanford,College Stats,6-3,218,4.78,32.5,113,6.9,4.31,N
2016,Jared Goff,QB,21,43,California,College Stats,6-4,215,4.82,27,110,7.17,4.47,Y
2016,Jeff Driskel,QB,22,5,Louisiana Tech,College Stats,6-4,234,4.56,32,122,7.19,4.25,N
2016,Connor Cook,QB,23,0,Michigan State,College Stats,6-4,217,4.79,33,113,7.21,4.28,N
2016,Jacoby Brissett,QB,23,24,North Carolina State,College Stats,6-4,231,4.94,31,113,7.17,4.53,N
2016,Brandon Allen,QB,23,2,Arkansas,College Stats,6-1,217,4.84,28,110,7.06,4.33,N
2015,Jameis Winston,QB,21,59,Florida State,College Stats,6-4,231,4.97,28.5,103,7.16,4.36,Y
2015,Bryce Petty,QB,23,4,Baylor,College Stats,6-3,230,4.87,34,121,6.91,4.13,N
2015,Marcus Mariota,QB,21,48,Oregon,College Stats,6-4,222,4.52,36,121,6.87,4.11,N
2015,Sean Mannion,QB,22,1,Oregon State,College Stats,6-6,229,5.14,31,105,7.29,4.39,N
2015,Brett Hundley,QB,21,5,UCLA,College Stats,6-3,226,4.63,36,120,6.93,3.98,N
2015,Garrett Grayson,QB,23,0,Colorado State,College Stats,6-2,213,4.75,,,,,N
2014,Keith Wenning,QB,23,,Ball State,College Stats,6-3,218,5,28,100,7.07,4.25,N
2014,Dustin Vaughan,QB,23,,West Texas A&M,,6-5,235,4.95,29,108,7.25,4.43,N
2014,Logan Thomas,QB,22,3,Virginia Tech,College Stats,6-6,248,4.61,35.5,118,7.05,4.18,N
2014,Connor Shaw,QB,22,0,South Carolina,College Stats,6-0,206,4.66,34,116,7.07,4.33,N
2014,Tom Savage,QB,23,4,Pittsburgh,College Stats,6-4,228,4.97,27,105,7.33,4.36,N
2014,Aaron Murray,QB,23,,Georgia,College Stats,6-0,207,4.84,,,,,N
2014,Stephen Morris,QB,21,,Miami (FL),College Stats,6-2,213,4.63,30,111,7.36,4.49,N
2014,A.J. McCarron,QB,23,4,Alabama,College Stats,6-3,220,4.94,28,99,7.18,4.34,N
2014,Johnny Manziel,QB,21,5,Texas A&M,College Stats,6-0,207,4.68,31.5,113,6.75,4.03,N
2014,Jimmy Garoppolo,QB,22,25,East. Illinois,,6-2,226,4.97,30.5,110,7.04,4.26,N
2014,David Fales,QB,23,1,San Jose State,College Stats,6-2,212,4.99,28,103,7.55,4.5,N
2014,Derek Carr,QB,22,61,Fresno State,College Stats,6-2,214,4.69,34.5,110,,4.2,Y
2014,Teddy Bridgewater,QB,21,28,Louisville,College Stats,6-2,214,4.78,30,113,7.17,4.2,Y
2014,Blake Bortles,QB,21,48,Central Florida,College Stats,6-5,232,4.93,32.5,115,7.08,4.21,N
2013,Brad Sorensen,QB,24,,Southern Utah,,6-4,229,4.97,29,112,7.17,4.55,N
2013,Geno Smith,QB,22,16,West Virginia,College Stats,6-2,218,4.58,33.5,124,,,N
2013,Sean Renfree,QB,22,0,Duke,College Stats,6-3,219,4.76,,,,,N
2013,Ryan Nassib,QB,22,0,Syracuse,College Stats,6-2,227,5.06,28.5,105,7.34,4.53,N
2013,E.J. Manuel,QB,22,11,Florida State,College Stats,6-5,237,4.65,34,118,7.08,4.21,N
2013,Landry Jones,QB,23,4,Oklahoma,College Stats,6-4,225,5.11,31,115,7.12,4.3,N
2013,MarQueis Gray,QB,23,2,Minnesota,College Stats,6-3,240,4.65,30,111,7.25,4.3,N
2013,Mike Glennon,QB,23,13,North Carolina State,College Stats,6-7,225,4.94,26.5,102,7.49,4.52,N
2013,Zac Dysert,QB,23,,Miami (OH),College Stats,6-3,231,4.81,,,,,N
2013,Tyler Bray,QB,21,0,Tennessee,College Stats,6-6,232,5.05,,100,7.2,4.51,N
2013,Matt Barkley,QB,22,4,USC,College Stats,6-2,227,4.91,,,,,N
2012,Russell Wilson,QB,23,129,Wisconsin,College Stats,5-11,204,4.53,34,118,6.97,4.09,Y
2012,Brandon Weeden,QB,28,15,Oklahoma State,College Stats,6-3,221,4.89,,,,,N
2012,Ryan Tannehill,QB,23,72,Texas A&M,College Stats,6-4,221,4.65,,,,,Y
2012,Brock Osweiler,QB,21,15,Arizona State,College Stats,6-7,242,4.83,,,,,N
2012,Kellen Moore,QB,22,2,Boise State,College Stats,6-0,197,4.82,27,99,7.41,4.56,N
2012,Andrew Luck,QB,22,79,Stanford,College Stats,6-4,234,4.59,36,124,6.8,4.28,Y
2012,Ryan Lindley,QB,22,-4,San Diego State,College Stats,6-4,229,4.86,29.5,108,7.52,4.45,N
2012,Case Keenum,QB,24,37,Houston,College Stats,6-1,208,4.72,32.5,103,,,N
2012,Chandler Harnish,QB,23,0,Northern Illinois,College Stats,6-2,219,4.68,32.5,112,6.78,4.15,N
2012,Robert Griffin,QB,22,38,Baylor,College Stats,6-2,223,4.33,39,120,,,Y
2012,Nick Foles,QB,23,32,Arizona,College Stats,6-5,243,5.14,30.5,112,,,Y
2012,Austin Davis,QB,22,6,Southern Miss,College Stats,6-2,219,4.69,31,109,6.73,4.11,N
2012,Kirk Cousins,QB,23,69,Michigan State,College Stats,6-3,214,4.84,28.5,109,7.05,4.5,Y
2012,B.J. Coleman,QB,23,0,Tenn-Chattanooga,,6-3,233,4.94,,109,7.07,4.38,N
2011,T.J. Yates,QB,23,6,North Carolina,College Stats,6-3,219,5.06,29.5,104,6.96,4.12,N
2011,Scott Tolzien,QB,23,3,Wisconsin,College Stats,6-2,212,4.92,29.5,116,6.84,4.12,N
2011,Tyrod Taylor,QB,21,43,Virginia Tech,College Stats,6-1,217,4.47,37.5,126,6.78,4.09,Y
2011,Ricky Stanzi,QB,23,0,Iowa,College Stats,6-4,223,4.87,32.5,110,6.95,4.43,N
2011,Christian Ponder,QB,23,23,Florida State,College Stats,6-2,229,4.63,34,116,6.85,4.09,N
2011,Cam Newton,QB,21,123,Auburn,College Stats,6-5,248,4.56,35,126,6.92,4.18,Y
2011,Greg McElroy,QB,22,1,Alabama,College Stats,6-2,220,4.84,33,107,7.11,4.45,N
2011,Ryan Mallett,QB,22,4,Arkansas,College Stats,6-7,253,5.37,24,103,,,N
2011,Jake Locker,QB,22,16,Washington,College Stats,6-2,231,4.51,35,120,6.77,4.12,N
2011,Colin Kaepernick,QB,23,49,Nevada,College Stats,6-5,233,4.53,32.5,115,6.85,4.18,N
2011,Blaine Gabbert,QB,21,17,Missouri,College Stats,6-4,234,4.61,33.5,120,6.84,4.26,N
2011,Pat Devlin,QB,22,0,Pittsburgh,,6-3,225,4.81,33,116,7.08,4.32,N
2011,Andy Dalton,QB,23,98,TCU,College Stats,6-2,215,4.83,29.5,106,6.93,4.27,Y
2010,Tim Tebow,QB,22,12,Florida,College Stats,6-3,236,4.71,38.5,115,6.66,4.17,N
2010,John Skelton,QB,21,4,Fordham,,6-5,243,4.85,33.5,108,7.17,4.33,N
2010,Zac Robinson,QB,23,0,Oklahoma State,College Stats,6-2,214,4.68,35,110,7.24,4.4,N
2010,Tony Pike,QB,23,0,Cincinnati,College Stats,6-6,223,4.9,28.5,108,7.06,4.53,N
2010,Colt McCoy,QB,23,14,Texas,College Stats,6-1,216,4.79,,114,,,N
2010,Thaddeus Lewis,QB,25,4,Duke,College Stats,6-0,215,4.84,28,107,,,N
2010,Mike Kafka,QB,22,0,Northwestern,College Stats,6-3,225,4.93,32,110,6.96,4.37,N
2010,Max Hall,QB,24,1,BYU,College Stats,6-1,209,4.84,32,102,7.07,4.35,N
2010,Jimmy Clausen,QB,22,3,Notre Dame,College Stats,6-3,222,4.76,,,,,N
2010,Levi Brown,QB,22,0,Troy,College Stats,6-3,229,4.93,31.5,106,7.07,4.43,N
2010,Sam Bradford,QB,22,49,Oklahoma,College Stats,6-4,236,4.79,,,,,N
2009,John Parker Wilson,QB,23,0,Alabama,College Stats,6-1,219,4.75,29.5,105,7.53,4.59,N
2009,Pat White,QB,23,1,West Virginia,College Stats,6-0,197,4.55,35,117,7.06,4.42,N
2009,Matthew Stafford,QB,21,118,Georgia,College Stats,6-2,225,4.81,30.5,107,7.06,4.47,Y
2009,Mark Sanchez,QB,22,38,USC,College Stats,6-2,227,4.93,32.5,116,7.06,4.21,N
2009,Curtis Painter,QB,23,2,Purdue,College Stats,6-3,225,4.87,29,102,7,4.48,N
2009,Stephen McGee,QB,23,2,Texas A&M,College Stats,6-3,225,4.61,33,112,7.34,4.49,N
2009,Brian Hoyer,QB,23,25,Michigan State,College Stats,6-2,215,5.02,32,109,7.1,4.42,N
2009,Graham Harrell,QB,23,0,Texas Tech,College Stats,6-2,223,4.95,29.5,98,7.45,4.56,N
2009,Josh Freeman,QB,21,41,Kansas State,College Stats,6-6,248,4.9,33.5,119,7.11,4.43,N
2009,Chase Daniel,QB,22,5,Missouri,College Stats,6-0,218,4.79,33,,7.28,4.31,N
2009,Rudy Carpenter,QB,22,0,Arizona State,College Stats,6-2,218,4.89,29,100,7.25,4.47,N
2009,Tom Brandstater,QB,24,0,Fresno State,College Stats,6-5,220,4.87,28.5,106,6.93,4.37,N
